2023/10/20 11:15:44   status: BootOK, percent: 0
2023/10/20 11:15:44   status: Erase, percent: 0
2023/10/20 11:15:46   status: Erase, percent: 100
2023/10/20 11:15:46   status: Write, percent: 0
2023/10/20 11:15:47   status: Write, percent: 10
2023/10/20 11:15:48   status: Write, percent: 20
2023/10/20 11:15:50   status: Write, percent: 30
2023/10/20 11:15:51   status: Write, percent: 40
2023/10/20 11:15:52   status: Write, percent: 50
2023/10/20 11:15:54   status: Write, percent: 60
2023/10/20 11:15:55   status: Write, percent: 70
2023/10/20 11:15:56   status: Write, percent: 80
2023/10/20 11:15:57   status: Write, percent: 90
2023/10/20 11:15:59   status: Write, percent: 100
2023/10/20 11:17:21   status: BootOK, percent: 0
2023/10/20 11:17:21   status: Erase, percent: 0
2023/10/20 11:17:23   status: Erase, percent: 100
2023/10/20 11:17:23   status: Write, percent: 0
2023/10/20 11:17:24   status: Write, percent: 10
2023/10/20 11:17:25   status: Write, percent: 20
2023/10/20 11:17:27   status: Write, percent: 30
2023/10/20 11:17:28   status: Write, percent: 40
2023/10/20 11:17:30   status: Write, percent: 50
2023/10/20 11:17:31   status: Write, percent: 60
2023/10/20 11:17:32   status: Write, percent: 70
2023/10/20 11:17:34   status: Write, percent: 80
2023/10/20 11:17:35   status: Write, percent: 90
2023/10/20 11:17:37   status: Write, percent: 100
2023/10/20 11:19:57   status: BootOK, percent: 0
2023/10/20 11:19:59   status: Erase, percent: 0
2023/10/20 11:20:00   status: Erase, percent: 100
2023/10/20 11:20:00   status: Write, percent: 0
2023/10/20 11:20:01   status: Write, percent: 10
2023/10/20 11:20:02   status: Write, percent: 20
2023/10/20 11:20:04   status: Write, percent: 30
2023/10/20 11:20:05   status: Write, percent: 40
2023/10/20 11:20:06   status: Write, percent: 50
2023/10/20 11:20:08   status: Write, percent: 60
2023/10/20 11:20:09   status: Write, percent: 70
2023/10/20 11:20:10   status: Write, percent: 80
2023/10/20 11:20:12   status: Write, percent: 90
2023/10/20 11:20:13   status: Write, percent: 100
2023/10/20 11:26:56   status: BootOK, percent: 0
2023/10/20 11:26:56   status: Erase, percent: 0
2023/10/20 11:26:57   status: Erase, percent: 100
2023/10/20 11:26:57   status: Write, percent: 0
2023/10/20 11:26:58   status: Write, percent: 10
2023/10/20 11:27:00   status: Write, percent: 20
2023/10/20 11:27:01   status: Write, percent: 30
2023/10/20 11:27:03   status: Write, percent: 40
2023/10/20 11:27:04   status: Write, percent: 50
2023/10/20 11:27:05   status: Write, percent: 60
2023/10/20 11:27:07   status: Write, percent: 70
2023/10/20 11:27:08   status: Write, percent: 80
2023/10/20 11:27:09   status: Write, percent: 90
2023/10/20 11:27:11   status: Write, percent: 100
2023/10/20 11:42:35   status: BootOK, percent: 0
2023/10/20 11:42:35   status: Erase, percent: 0
2023/10/20 11:42:36   status: Erase, percent: 100
2023/10/20 11:42:36   status: Write, percent: 0
2023/10/20 11:42:38   status: Write, percent: 10
2023/10/20 11:42:39   status: Write, percent: 20
2023/10/20 11:42:40   status: Write, percent: 30
2023/10/20 11:42:42   status: Write, percent: 40
2023/10/20 11:42:43   status: Write, percent: 50
2023/10/20 11:42:44   status: Write, percent: 60
2023/10/20 11:42:46   status: Write, percent: 70
2023/10/20 11:42:47   status: Write, percent: 80
2023/10/20 11:42:49   status: Write, percent: 90
2023/10/20 11:42:50   status: Write, percent: 100
2023/10/20 11:47:58   status: BootOK, percent: 0
2023/10/20 11:47:58   status: Erase, percent: 0
2023/10/20 11:47:59   status: Erase, percent: 100
2023/10/20 11:47:59   status: Write, percent: 0
2023/10/20 11:48:01   status: Write, percent: 10
2023/10/20 11:48:02   status: Write, percent: 20
2023/10/20 11:48:03   status: Write, percent: 30
2023/10/20 11:48:05   status: Write, percent: 40
2023/10/20 11:48:06   status: Write, percent: 50
2023/10/20 11:48:07   status: Write, percent: 60
2023/10/20 11:48:09   status: Write, percent: 70
2023/10/20 11:48:10   status: Write, percent: 80
2023/10/20 11:48:12   status: Write, percent: 90
2023/10/20 11:48:13   status: Write, percent: 100
2023/10/20 13:15:10   status: BootOK, percent: 0
2023/10/20 13:15:10   status: Erase, percent: 0
2023/10/20 13:15:11   status: Erase, percent: 100
2023/10/20 13:15:11   status: Write, percent: 0
