佳世达     10.85.173.1         10.85.173.154
昆达        10.87.195.101      10.87.195.103
天通        10.10.19.10          10.10.19.12
诺正        172.31.8.92          172.31.8.93
常州        10.21.6.100          10.21.6.100
创维        192.168.20.220     192.168.20.221
海弘        172.17.22.186       172.17.22.186
合肥        192.168.1.140       192.168.1.140
华冠        10.118.1.44           10.118.1.44
信佳        192.168.3.98         192.168.3.98
BCM       192.168.205.149    192.168.205.149

创维外     183.47.26.218        183.47.26.218
常州外     58.216.185.226      58.216.185.226
昆达外      36.153.41.38          36.153.41.38
华冠外      219.129.153.124      219.129.153.124
天通外      61.153.51.106         61.153.51.106
海弘外      202.105.189.204     202.105.189.204
诺正外      120.236.89.53        120.236.89.53
信佳外      116.6.82.234         116.6.82.234
